"pidn","tstp","plev","psex","psed","pgen","pge2","pest","psne","reg1","reg2","reg3","lab1","lab2","lab3"
153,"2/12/2024 10:31:44",2,1,1,1,1,"Don Bosco",0,3,4,4,4,3,4
154,"2/12/2024 10:36:09",2,1,1,1,1,"Don Bosco",0,4,4,4,4,3,4
155,"2/12/2024 10:38:39",2,1,1,1,1,"Don Bosco",0,4,4,4,4,2,2
156,"6/12/2024 10:13:54",2,2,0,2,2,"The British School",0,5,5,4,5,1,1
157,"6/12/2024 10:16:33",2,2,0,2,2,"The British School",0,5,4,5,5,1,1
158,"6/12/2024 10:21:17",2,1,1,1,1,"The British School",0,5,5,5,5,1,1
159,"6/12/2024 10:41:41",2,2,0,2,2,"The British School",0,5,5,5,5,1,1
160,"6/12/2024 10:44:26",2,2,0,2,2,"The British School",0,5,5,5,5,1,2
161,"6/12/2024 10:46:12",2,2,0,2,2,"The British School",0,5,5,5,5,1,1
162,"6/12/2024 10:47:58",2,2,0,2,2,"The British School",0,3,4,4,5,2,1
163,"6/12/2024 12:33:40",3,2,0,2,2,"Adventista",0,5,5,5,5,1,1
164,"6/12/2024 12:35:44",3,2,0,2,2,"Adventista",0,4,4,3,5,2,1
165,"6/12/2024 12:37:22",3,2,0,2,2,"Adventista",0,4,4,4,5,1,1
166,"6/12/2024 12:41:22",3,1,1,1,1,"Adventista",0,3,4,4,5,2,1
167,"9/12/2024 10:16:46",4,1,1,1,1,"Insuco",0,4,5,4,5,2,1
168,"9/12/2024 10:20:39",4,1,1,1,1,"Insuco",0,5,4,5,5,1,1
169,"9/12/2024 10:24:10",4,1,1,1,1,"Insuco",0,4,5,4,5,1,1
170,"9/12/2024 10:27:41",4,2,0,2,2,"Insuco",0,5,5,4,5,2,2
171,"9/12/2024 10:35:25",4,1,1,1,1,"Insuco",0,4,3,4,5,1,2
172,"9/12/2024 12:40:53",2,1,1,1,1,"Bambú",1,3,4,3,5,1,1
173,"9/12/2024 12:45:46",2,1,1,1,1,"Bambú",0,3,3,3,3,4,1
174,"9/12/2024 12:49:22",2,2,0,2,2,"Bambú",0,5,4,5,5,1,1
175,"9/12/2024 12:51:11",2,2,0,2,2,"Bambú",1,4,4,4,5,1,1
176,"9/12/2024 12:55:13",2,2,0,2,2,"Bambú",0,4,3,4,5,2,1
177,"11/12/2024 10:33:55",2,1,1,1,1,"Adventista",0,5,1,1,5,1,1
178,"11/12/2024 10:36:25",2,2,0,2,2,"Adventista",0,5,5,4,4,1,4
179,"11/12/2024 10:37:47",2,1,1,1,1,"Adventista",1,3,3,3,5,1,1
180,"11/12/2024 10:38:50",2,1,1,1,1,"Adventista",0,5,5,5,5,1,1
181,"11/12/2024 10:39:41",2,1,1,1,1,"Adventista",1,3,3,5,5,1,1
